class,stream,favorite_subject,interest,skill,overall_marks,math_score,science_score,english_score,logical_reasoning,communication_skill,creativity_score,recommended_career
12,Science,Mathematics,Engineering,Problem Solving,79,44,40,91,2,4,5,Engineer
11,Arts,English,Design,Creativity,70,92,56,59,7,6,4,Graphic Designer
11,Arts,English,Design,Creativity,94,61,46,62,8,6,8,Graphic Designer
11,Commerce,Mathematics,Finance,Analysis,84,53,46,98,3,5,5,Financial Analyst
11,Science,Mathematics,Engineering,Mathematics,80,77,88,56,7,9,8,Engineer
12,Science,Computer Science,Technology,Programming,76,90,56,87,5,3,1,Data Scientist
12,Arts,Political Science,Government,Leadership,59,71,51,71,4,1,10,Civil Services
11,Science,Physics,Engineering,Mathematics,67,56,92,87,10,1,4,Engineer
11,Commerce,Accountancy,Finance,Mathematics,94,63,92,51,7,6,8,Chartered Accountant
12,Commerce,Business Studies,Management,Leadership,60,85,71,92,7,1,6,Business Manager
11,Science,Computer Science,Technology,Analysis,95,49,46,92,4,9,3,Data Scientist
11,Science,Biology,Healthcare,Communication,66,53,52,80,4,9,1,Doctor
11,Commerce,Mathematics,Finance,Mathematics,96,95,63,59,1,7,8,Financial Analyst
11,Commerce,Business Studies,Management,Leadership,60,58,85,84,1,3,5,Business Manager
12,Commerce,Accountancy,Finance,Analysis,60,49,51,76,1,4,8,Chartered Accountant
12,Commerce,Accountancy,Finance,Analysis,78,85,87,46,2,3,3,Chartered Accountant
12,Arts,English,Writing,Communication,96,87,77,74,8,2,7,Journalist
12,Science,Chemistry,Healthcare,Research,84,58,41,84,2,1,5,Doctor
12,Science,Mathematics,Engineering,Mathematics,75,47,81,47,2,9,4,Engineer
11,Science,Chemistry,Healthcare,Research,70,77,70,88,1,8,4,Doctor
12,Commerce,Business Studies,Management,Communication,76,99,60,90,5,4,8,Business Manager
12,Science,Computer Science,Programming,Programming,60,66,53,48,8,2,3,Software Engineer
11,Commerce,Business Studies,Management,Leadership,68,73,87,72,8,2,10,Business Manager
12,Science,Mathematics,Programming,Programming,80,68,95,97,7,3,4,Software Engineer
11,Commerce,Accountancy,Finance,Mathematics,57,47,91,79,7,10,5,Chartered Accountant
12,Commerce,Economics,Finance,Mathematics,67,66,50,41,6,5,6,Financial Analyst
11,Arts,English,Design,Creativity,69,69,100,41,7,6,7,Graphic Designer
12,Commerce,Mathematics,Finance,Mathematics,69,43,94,78,8,5,5,Financial Analyst
11,Science,Computer Science,Technology,Analysis,55,55,87,64,9,10,4,Data Scientist
12,Commerce,Mathematics,Finance,Mathematics,77,76,48,55,8,9,9,Financial Analyst
11,Commerce,Business Studies,Management,Communication,58,69,67,83,2,10,4,Business Manager
11,Arts,English,Design,Creativity,62,67,79,86,7,1,1,Graphic Designer
12,Science,Mathematics,Engineering,Mathematics,77,67,85,97,5,2,3,Engineer
11,Arts,English,Writing,Writing,91,82,94,67,2,5,2,Journalist
11,Arts,History,Government,Leadership,75,50,60,50,2,6,5,Civil Services
11,Arts,Political Science,Government,Research,99,53,57,52,5,4,4,Civil Services
12,Science,Computer Science,Technology,Problem Solving,98,55,91,59,3,2,3,Software Engineer
12,Science,Physics,Engineering,Mathematics,69,98,51,66,3,4,7,Engineer
12,Commerce,Economics,Finance,Mathematics,80,66,79,43,2,3,2,Chartered Accountant
12,Commerce,Economics,Finance,Analysis,67,83,78,71,6,8,7,Financial Analyst
11,Science,Physics,Engineering,Mathematics,61,80,77,58,2,6,1,Engineer
12,Commerce,Business Studies,Business,Leadership,92,95,52,40,4,8,10,Business Manager
11,Commerce,Accountancy,Finance,Mathematics,72,75,77,91,3,10,6,Chartered Accountant
12,Science,Chemistry,Healthcare,Communication,85,68,54,90,3,1,7,Doctor
12,Science,Physics,Engineering,Problem Solving,87,88,88,91,6,9,1,Engineer
11,Arts,English,Writing,Communication,82,57,74,46,4,2,8,Journalist
12,Science,Computer Science,Technology,Programming,72,79,70,89,2,1,8,Software Engineer
11,Arts,English,Writing,Communication,63,84,80,89,9,6,3,Journalist
11,Arts,English,Design,Creativity,89,52,70,89,5,8,2,Graphic Designer
12,Science,Computer Science,Programming,Problem Solving,59,81,50,60,9,7,8,Software Engineer
12,Science,Mathematics,Technology,Analysis,87,92,41,74,4,6,1,Data Scientist
12,Science,Mathematics,Artificial Intelligence,Analysis,55,75,89,88,2,6,5,Data Scientist
11,Arts,English,Writing,Communication,90,62,52,71,7,10,6,Journalist
11,Science,Physics,Engineering,Problem Solving,94,94,59,49,3,3,5,Engineer
12,Science,Mathematics,Technology,Problem Solving,80,93,85,42,7,2,3,Software Engineer
12,Science,Mathematics,Technology,Analysis,85,62,99,70,9,7,8,Data Scientist
12,Commerce,Economics,Finance,Analysis,80,93,84,53,10,7,5,Financial Analyst
11,Commerce,Mathematics,Finance,Mathematics,99,85,43,80,5,10,1,Financial Analyst
12,Science,Mathematics,Engineering,Problem Solving,63,41,52,51,4,6,9,Engineer
12,Commerce,Economics,Finance,Mathematics,94,47,78,81,10,1,2,Chartered Accountant
11,Arts,Political Science,Government,Leadership,78,55,94,87,4,7,7,Civil Services
12,Science,Mathematics,Technology,Problem Solving,92,100,51,69,2,4,9,Software Engineer
11,Arts,English,Design,Creativity,81,84,51,63,6,10,8,Graphic Designer
11,Arts,History,Government,Research,59,83,73,54,1,2,9,Civil Services
12,Arts,History,Writing,Communication,78,91,50,82,4,3,10,Journalist
12,Commerce,Mathematics,Finance,Analysis,59,65,81,51,2,6,10,Financial Analyst
11,Commerce,Economics,Finance,Analysis,72,95,57,85,9,9,7,Financial Analyst
11,Science,Mathematics,Engineering,Problem Solving,71,64,83,62,8,8,4,Engineer
11,Science,Mathematics,Programming,Programming,99,100,75,42,2,4,4,Software Engineer
12,Science,Chemistry,Healthcare,Communication,92,64,91,100,2,4,5,Doctor
11,Arts,English,Design,Creativity,80,75,42,68,3,4,2,Graphic Designer
12,Commerce,Economics,Finance,Mathematics,84,61,56,59,8,3,4,Chartered Accountant
11,Science,Computer Science,Technology,Programming,56,50,59,63,9,9,10,Data Scientist
11,Arts,History,Writing,Writing,67,70,45,66,2,1,2,Journalist
12,Science,Physics,Engineering,Mathematics,92,63,93,88,3,4,2,Engineer
12,Arts,English,Writing,Writing,84,52,83,65,10,9,6,Journalist
12,Science,Mathematics,Programming,Problem Solving,81,44,81,83,6,7,6,Software Engineer
12,Arts,English,Design,Creativity,77,96,56,77,3,9,8,Graphic Designer
12,Arts,English,Design,Creativity,68,80,72,95,2,5,9,Graphic Designer
11,Arts,English,Design,Creativity,85,100,43,46,6,4,3,Graphic Designer
12,Science,Chemistry,Healthcare,Communication,57,98,92,57,4,6,8,Doctor
11,Science,Computer Science,Technology,Problem Solving,73,76,68,98,5,6,6,Software Engineer
12,Arts,English,Writing,Communication,80,46,82,78,4,1,10,Journalist
11,Commerce,Economics,Finance,Analysis,70,56,93,87,1,4,6,Chartered Accountant
11,Commerce,Accountancy,Finance,Mathematics,56,71,87,46,5,3,7,Chartered Accountant
12,Science,Computer Science,Technology,Problem Solving,74,89,96,92,4,9,2,Software Engineer
12,Science,Chemistry,Healthcare,Research,86,77,68,43,8,6,3,Doctor
12,Science,Mathematics,Technology,Programming,89,66,74,74,1,2,5,Software Engineer
11,Science,Chemistry,Healthcare,Research,57,44,59,100,3,10,5,Doctor
12,Science,Computer Science,Artificial Intelligence,Programming,92,88,68,68,4,8,9,Data Scientist
12,Commerce,Accountancy,Finance,Analysis,65,91,81,64,7,6,9,Chartered Accountant
11,Science,Biology,Healthcare,Communication,70,50,90,78,5,1,1,Doctor
11,Arts,English,Design,Creativity,64,88,92,78,5,4,10,Graphic Designer
11,Commerce,Business Studies,Business,Communication,77,54,41,77,4,4,3,Business Manager
11,Science,Mathematics,Technology,Analysis,74,66,54,61,8,6,9,Data Scientist
11,Arts,English,Design,Creativity,88,81,73,84,4,4,8,Graphic Designer
11,Science,Mathematics,Technology,Programming,61,71,78,49,2,2,8,Software Engineer
12,Arts,History,Government,Leadership,74,44,74,52,1,4,10,Civil Services
12,Commerce,Business Studies,Business,Communication,63,94,50,84,7,5,10,Business Manager
11,Science,Mathematics,Programming,Programming,60,85,83,74,7,2,5,Software Engineer
11,Science,Computer Science,Artificial Intelligence,Analysis,82,74,47,55,3,7,5,Data Scientist
11,Arts,English,Writing,Communication,87,58,64,97,6,6,9,Journalist
12,Science,Mathematics,Programming,Problem Solving,68,49,54,61,5,6,7,Software Engineer
12,Arts,History,Writing,Communication,99,45,97,62,4,6,5,Journalist
12,Arts,Political Science,Government,Leadership,65,91,46,96,2,5,5,Civil Services
11,Science,Computer Science,Artificial Intelligence,Analysis,78,91,47,47,9,6,6,Data Scientist
12,Commerce,Economics,Finance,Analysis,80,75,52,42,1,1,2,Chartered Accountant
12,Arts,History,Writing,Communication,74,91,90,79,9,1,6,Journalist
12,Commerce,Accountancy,Finance,Mathematics,86,94,44,98,1,10,9,Chartered Accountant
11,Commerce,Business Studies,Business,Leadership,98,72,85,91,8,3,7,Business Manager
12,Commerce,Accountancy,Finance,Mathematics,64,69,43,42,9,9,5,Chartered Accountant
11,Commerce,Economics,Finance,Mathematics,63,63,54,77,8,7,6,Financial Analyst
12,Commerce,Economics,Finance,Mathematics,77,46,41,85,9,4,8,Chartered Accountant
11,Arts,History,Government,Research,88,76,87,64,6,3,9,Civil Services
12,Science,Physics,Engineering,Mathematics,69,87,62,80,6,1,10,Engineer
12,Science,Mathematics,Engineering,Problem Solving,96,57,71,80,4,7,2,Engineer
11,Commerce,Mathematics,Finance,Analysis,99,77,74,55,3,7,8,Financial Analyst
11,Science,Computer Science,Technology,Problem Solving,84,67,73,45,10,9,9,Software Engineer
12,Arts,Political Science,Government,Research,77,46,96,69,10,7,1,Civil Services
11,Commerce,Accountancy,Finance,Mathematics,63,90,43,77,10,2,9,Chartered Accountant
11,Science,Computer Science,Technology,Programming,76,92,86,47,2,3,7,Data Scientist
11,Commerce,Economics,Finance,Mathematics,73,52,100,61,10,2,1,Chartered Accountant
12,Commerce,Accountancy,Finance,Analysis,63,92,46,99,3,3,7,Chartered Accountant
12,Science,Mathematics,Engineering,Problem Solving,88,59,88,50,6,9,8,Engineer
12,Arts,History,Writing,Writing,68,60,70,85,10,4,8,Journalist
12,Science,Mathematics,Programming,Problem Solving,86,88,97,41,6,4,6,Software Engineer
11,Commerce,Business Studies,Management,Communication,55,94,98,62,9,8,5,Business Manager
11,Arts,Political Science,Government,Leadership,77,52,60,84,6,5,6,Civil Services
11,Commerce,Economics,Finance,Analysis,61,40,67,97,7,4,3,Chartered Accountant
12,Science,Biology,Healthcare,Communication,90,75,82,59,5,2,9,Doctor
11,Arts,English,Design,Creativity,84,93,100,99,10,7,9,Graphic Designer
11,Science,Mathematics,Artificial Intelligence,Analysis,95,58,65,71,9,8,1,Data Scientist
12,Science,Computer Science,Artificial Intelligence,Analysis,71,48,53,62,8,5,5,Data Scientist
11,Science,Biology,Healthcare,Research,93,56,45,71,1,5,3,Doctor
11,Arts,Political Science,Government,Research,68,94,85,75,10,10,9,Civil Services
11,Science,Mathematics,Technology,Programming,89,96,91,68,9,2,4,Software Engineer
12,Arts,English,Design,Creativity,55,88,83,56,9,10,9,Graphic Designer
11,Science,Computer Science,Artificial Intelligence,Analysis,90,84,70,94,1,8,1,Data Scientist
11,Arts,Political Science,Government,Leadership,85,80,68,84,5,9,6,Civil Services
12,Science,Physics,Engineering,Mathematics,90,74,60,91,5,9,8,Engineer
11,Commerce,Economics,Finance,Mathematics,56,56,97,99,2,7,1,Financial Analyst
12,Commerce,Economics,Finance,Analysis,55,43,45,60,8,8,8,Chartered Accountant
11,Arts,History,Writing,Communication,76,72,69,88,10,2,4,Journalist
11,Arts,History,Government,Research,74,48,42,98,6,8,9,Civil Services
12,Science,Physics,Engineering,Problem Solving,75,91,45,78,10,8,9,Engineer
12,Commerce,Economics,Finance,Mathematics,73,76,87,91,2,8,4,Financial Analyst
12,Commerce,Economics,Finance,Mathematics,57,96,75,89,7,2,3,Chartered Accountant
11,Arts,English,Design,Creativity,88,94,76,85,3,10,9,Graphic Designer
12,Commerce,Business Studies,Management,Communication,71,85,84,73,2,6,9,Business Manager
11,Arts,History,Government,Research,77,98,77,69,10,2,9,Civil Services
12,Arts,Political Science,Government,Research,56,80,54,100,3,4,4,Civil Services
12,Arts,English,Design,Creativity,57,80,70,50,7,5,7,Graphic Designer
11,Commerce,Business Studies,Business,Leadership,66,70,70,88,7,7,6,Business Manager
12,Commerce,Business Studies,Management,Communication,84,53,73,43,1,7,8,Business Manager
11,Science,Biology,Healthcare,Communication,58,61,77,61,5,3,1,Doctor
11,Commerce,Economics,Finance,Analysis,94,60,54,67,2,4,4,Financial Analyst
12,Arts,English,Writing,Writing,91,46,73,47,1,7,10,Journalist
11,Science,Mathematics,Programming,Problem Solving,55,75,53,65,5,4,6,Software Engineer
12,Science,Mathematics,Technology,Programming,84,46,43,77,8,10,1,Data Scientist
12,Science,Computer Science,Artificial Intelligence,Analysis,69,45,52,82,2,10,5,Data Scientist
11,Arts,History,Government,Research,90,53,83,92,8,2,6,Civil Services
12,Science,Mathematics,Engineering,Problem Solving,91,80,49,43,8,1,2,Engineer
12,Science,Computer Science,Technology,Programming,97,69,83,86,5,4,10,Data Scientist
11,Commerce,Mathematics,Finance,Mathematics,70,48,63,94,7,4,1,Financial Analyst
11,Arts,English,Design,Creativity,92,63,90,70,10,4,2,Graphic Designer
12,Science,Mathematics,Technology,Programming,97,54,65,99,2,2,1,Software Engineer
12,Science,Mathematics,Engineering,Mathematics,97,49,49,64,1,1,4,Engineer
12,Commerce,Economics,Finance,Mathematics,98,53,92,51,3,7,5,Financial Analyst
11,Arts,English,Design,Creativity,74,67,88,93,9,9,5,Graphic Designer
11,Arts,History,Government,Research,81,73,84,71,8,4,5,Civil Services
11,Arts,History,Government,Leadership,77,98,42,96,9,9,1,Civil Services
11,Science,Chemistry,Healthcare,Research,77,73,76,50,4,3,5,Doctor
11,Science,Mathematics,Engineering,Mathematics,95,49,58,49,2,3,8,Engineer
11,Science,Chemistry,Healthcare,Research,86,50,99,45,6,9,1,Doctor
12,Science,Mathematics,Technology,Analysis,63,83,57,43,1,8,8,Data Scientist
11,Science,Chemistry,Healthcare,Research,94,55,91,99,1,9,4,Doctor
11,Commerce,Business Studies,Business,Leadership,80,88,93,91,1,2,4,Business Manager
12,Commerce,Business Studies,Management,Communication,100,85,43,52,3,1,8,Business Manager
12,Commerce,Economics,Finance,Analysis,84,66,70,88,7,1,7,Chartered Accountant
12,Science,Mathematics,Technology,Programming,99,94,71,89,10,6,3,Software Engineer
11,Commerce,Economics,Finance,Mathematics,83,93,95,66,4,9,7,Chartered Accountant
12,Arts,Political Science,Government,Leadership,62,89,79,80,4,6,8,Civil Services
12,Arts,English,Design,Creativity,100,61,69,41,10,10,9,Graphic Designer
12,Commerce,Economics,Finance,Analysis,73,65,61,80,6,7,6,Chartered Accountant
11,Science,Biology,Healthcare,Communication,71,60,46,67,5,2,3,Doctor
12,Commerce,Accountancy,Finance,Analysis,78,40,45,51,6,5,7,Chartered Accountant
11,Commerce,Mathematics,Finance,Analysis,78,91,90,66,1,6,9,Financial Analyst
11,Arts,History,Government,Leadership,67,70,98,70,3,5,10,Civil Services
11,Science,Chemistry,Healthcare,Communication,100,88,54,66,6,1,1,Doctor
12,Commerce,Business Studies,Management,Leadership,88,59,41,62,7,1,4,Business Manager
12,Arts,English,Design,Creativity,55,66,75,96,8,1,4,Graphic Designer
11,Arts,History,Government,Research,65,92,62,40,3,10,3,Civil Services
11,Science,Chemistry,Healthcare,Communication,83,91,95,97,1,3,2,Doctor
11,Commerce,Economics,Finance,Analysis,88,91,58,43,5,2,6,Financial Analyst
11,Science,Mathematics,Engineering,Problem Solving,98,72,94,56,10,5,3,Engineer
12,Arts,English,Design,Creativity,97,47,90,59,8,1,8,Graphic Designer
11,Commerce,Accountancy,Finance,Mathematics,59,87,49,49,8,6,6,Chartered Accountant
11,Science,Chemistry,Healthcare,Research,79,46,60,50,5,7,2,Doctor
12,Commerce,Business Studies,Management,Leadership,73,40,90,70,8,3,8,Business Manager
12,Commerce,Mathematics,Finance,Analysis,57,53,60,68,5,10,7,Financial Analyst
12,Science,Biology,Healthcare,Communication,94,51,47,59,2,4,2,Doctor
12,Commerce,Economics,Finance,Analysis,95,74,51,69,5,9,2,Financial Analyst
12,Arts,English,Design,Creativity,74,70,44,86,8,7,8,Graphic Designer
12,Commerce,Economics,Finance,Analysis,97,99,61,41,2,9,8,Financial Analyst
11,Commerce,Mathematics,Finance,Mathematics,79,98,43,49,9,6,10,Financial Analyst
11,Science,Mathematics,Engineering,Problem Solving,62,80,46,58,1,9,10,Engineer
11,Science,Mathematics,Engineering,Problem Solving,95,89,59,51,5,1,9,Engineer
12,Arts,History,Government,Leadership,82,75,55,71,9,9,3,Civil Services
12,Science,Chemistry,Healthcare,Research,79,54,50,48,2,1,3,Doctor
12,Science,Chemistry,Healthcare,Research,64,68,68,74,6,5,7,Doctor
11,Science,Biology,Healthcare,Communication,86,74,97,90,7,1,8,Doctor
12,Commerce,Mathematics,Finance,Mathematics,68,92,60,57,6,5,10,Financial Analyst
11,Arts,Political Science,Government,Research,57,92,80,67,10,7,4,Civil Services
11,Arts,Political Science,Government,Leadership,82,60,81,53,3,10,7,Civil Services
11,Science,Mathematics,Artificial Intelligence,Analysis,69,61,77,55,4,7,6,Data Scientist
12,Commerce,Business Studies,Business,Communication,67,50,95,70,9,2,9,Business Manager
11,Science,Biology,Healthcare,Communication,84,80,59,91,2,2,3,Doctor
12,Science,Mathematics,Artificial Intelligence,Programming,92,58,91,57,7,2,4,Data Scientist
12,Arts,History,Writing,Communication,56,88,74,53,9,7,8,Journalist
12,Commerce,Economics,Finance,Mathematics,78,69,86,84,3,7,2,Chartered Accountant
11,Arts,English,Design,Creativity,67,89,42,66,8,8,7,Graphic Designer
12,Arts,English,Writing,Writing,66,41,60,42,10,10,9,Journalist
11,Science,Computer Science,Artificial Intelligence,Analysis,82,67,97,83,8,1,7,Data Scientist
11,Commerce,Business Studies,Management,Leadership,64,72,48,69,7,5,1,Business Manager
12,Science,Mathematics,Artificial Intelligence,Programming,67,84,91,45,5,5,7,Data Scientist
11,Science,Biology,Healthcare,Communication,98,83,47,65,4,4,7,Doctor
12,Science,Mathematics,Engineering,Problem Solving,94,70,76,82,7,9,6,Engineer
12,Commerce,Business Studies,Business,Communication,74,42,82,47,5,2,8,Business Manager
12,Commerce,Economics,Finance,Mathematics,86,70,57,51,10,2,4,Chartered Accountant
12,Science,Mathematics,Programming,Problem Solving,76,67,70,81,9,7,9,Software Engineer
12,Commerce,Economics,Finance,Analysis,91,63,100,62,9,5,1,Financial Analyst
12,Commerce,Business Studies,Management,Leadership,79,53,81,60,3,9,5,Business Manager
12,Arts,English,Writing,Communication,87,74,49,73,2,9,9,Journalist
11,Arts,History,Government,Leadership,76,56,43,49,2,8,2,Civil Services
11,Commerce,Accountancy,Finance,Analysis,66,94,92,60,8,8,9,Chartered Accountant
11,Commerce,Accountancy,Finance,Mathematics,65,92,55,57,5,10,9,Chartered Accountant
12,Commerce,Business Studies,Management,Leadership,94,56,42,60,9,5,4,Business Manager
11,Commerce,Economics,Finance,Mathematics,99,70,99,74,10,7,10,Financial Analyst
12,Science,Mathematics,Programming,Problem Solving,82,99,61,80,9,10,7,Software Engineer
12,Science,Biology,Healthcare,Communication,91,81,87,79,3,8,4,Doctor
12,Commerce,Economics,Finance,Mathematics,68,96,80,74,8,6,3,Financial Analyst
11,Arts,History,Writing,Writing,81,75,51,61,5,7,10,Journalist
11,Science,Computer Science,Technology,Programming,65,92,80,62,4,8,5,Software Engineer
11,Commerce,Mathematics,Finance,Analysis,87,43,43,92,1,8,7,Financial Analyst
11,Science,Physics,Engineering,Mathematics,69,73,56,49,2,5,6,Engineer
12,Arts,English,Design,Creativity,58,89,57,72,9,2,10,Graphic Designer
12,Science,Mathematics,Engineering,Mathematics,62,60,52,50,9,2,9,Engineer
11,Science,Computer Science,Technology,Programming,85,70,100,90,1,10,5,Data Scientist
11,Commerce,Business Studies,Business,Communication,62,55,51,83,6,9,4,Business Manager
11,Science,Physics,Engineering,Mathematics,97,69,63,82,10,5,5,Engineer
12,Science,Mathematics,Engineering,Problem Solving,72,42,95,80,4,1,2,Engineer
12,Commerce,Economics,Finance,Analysis,83,96,49,54,2,3,5,Financial Analyst
12,Commerce,Economics,Finance,Analysis,66,79,76,57,1,10,6,Financial Analyst
11,Commerce,Accountancy,Finance,Analysis,86,73,54,95,3,8,8,Chartered Accountant
