name,age,stream,math_score,science_score,english_score,computer_score,attendance,family_income,study_hours,financial_problem,mental_stress,internet_access,parental_support,recommended_career,dropout_risk
Student_36,18,Arts,59,37,81,97,98,Medium,9,No,Medium,Yes,High,Lawyer,Low
Student_37,17,Science,43,43,90,64,42,High,3,Yes,High,Yes,High,Mechanical Engineer,High
Student_38,20,Science,80,90,67,71,40,Medium,6,Yes,Medium,No,Medium,Doctor,Medium
Student_39,19,Commerce,68,92,76,94,42,Medium,2,No,Medium,Yes,Medium,Doctor,Medium
Student_40,18,Science,51,75,58,82,77,Medium,9,Yes,High,No,High,Graphic Designer,Medium
Student_41,22,Arts,79,51,66,85,93,High,7,No,High,Yes,Medium,Data Scientist,Low
Student_42,22,Science,57,38,93,40,42,Medium,9,No,Medium,Yes,High,Mechanical Engineer,Low
Student_43,20,Commerce,98,60,92,68,94,Medium,3,No,High,Yes,Low,Business Manager,Medium
Student_44,18,Science,75,62,83,100,66,Medium,1,No,High,No,Medium,Data Scientist,Medium
Student_45,17,Commerce,62,92,60,63,42,Low,2,Yes,Low,No,Low,Doctor,High
Student_46,16,Commerce,56,88,81,84,50,High,8,No,Low,No,High,Doctor,Medium
Student_47,21,Arts,95,56,44,59,58,High,1,Yes,High,Yes,Low,Mechanical Engineer,High
Student_48,20,Commerce,69,53,37,31,63,Low,5,Yes,Low,Yes,Low,Business Manager,Medium
Student_49,17,Commerce,98,84,72,76,41,Medium,3,No,Medium,No,Low,Software Engineer,Medium
Student_50,21,Arts,50,82,97,67,83,High,10,No,Low,Yes,High,Doctor,Low
Student_51,20,Commerce,96,37,82,36,85,Low,7,No,Low,No,Low,Business Manager,Low
Student_52,16,Commerce,97,83,49,43,88,High,10,Yes,Medium,No,High,Doctor,Medium
Student_53,21,Science,64,39,84,32,85,Medium,10,Yes,Low,Yes,Low,Mechanical Engineer,Medium
Student_54,20,Arts,71,48,61,84,64,Low,6,No,Low,Yes,Low,Software Engineer,Low
Student_55,16,Science,69,82,63,90,46,High,8,Yes,High,No,Low,Doctor,High
Student_56,21,Commerce,99,47,53,91,82,Low,5,Yes,High,No,High,Data Scientist,Medium
Student_57,16,Arts,57,46,49,71,60,High,6,Yes,Low,No,Medium,Graphic Designer,Medium
Student_58,16,Commerce,64,63,86,98,73,Medium,4,Yes,Medium,No,High,Business Manager,Medium
Student_59,20,Science,100,55,64,72,52,High,2,No,High,No,High,Graphic Designer,High
Student_60,19,Arts,39,54,55,64,46,Medium,1,No,High,Yes,High,Mechanical Engineer,High
Student_61,17,Science,65,63,60,47,83,Medium,8,Yes,High,Yes,Medium,Mechanical Engineer,Medium
Student_62,19,Commerce,38,45,53,85,100,High,2,Yes,Medium,Yes,Low,Business Manager,Medium
Student_63,17,Arts,46,60,40,80,52,Low,3,No,High,Yes,Medium,Graphic Designer,Medium
Student_64,18,Science,64,85,51,64,49,Medium,6,Yes,Low,Yes,Low,Doctor,Medium
Student_65,16,Science,41,71,38,38,54,Low,7,No,High,Yes,Low,Mechanical Engineer,Medium
Student_66,16,Commerce,99,91,44,98,55,Medium,7,No,High,No,High,Data Scientist,Medium
Student_67,20,Commerce,84,44,60,69,46,High,7,Yes,Medium,Yes,High,Business Manager,Medium
Student_68,16,Science,92,100,63,98,42,Low,6,Yes,High,Yes,Medium,Software Engineer,High
Student_69,17,Science,92,73,62,88,82,Medium,1,Yes,High,No,Low,Data Scientist,High
Student_70,19,Arts,59,59,62,91,71,Medium,6,No,Low,No,High,Graphic Designer,Low
Student_71,21,Commerce,78,41,61,64,60,Low,10,Yes,Medium,Yes,High,Business Manager,Low
Student_72,21,Commerce,97,58,97,94,48,Medium,10,Yes,High,Yes,High,Software Engineer,High
Student_73,22,Arts,41,57,59,97,99,Low,9,Yes,Low,Yes,Low,Graphic Designer,Medium
Student_74,17,Arts,40,93,93,57,85,High,9,No,Low,No,High,Doctor,Low
Student_75,22,Arts,57,46,70,35,42,Medium,8,Yes,High,Yes,Medium,Mechanical Engineer,High
Student_76,19,Arts,57,45,61,58,40,Low,5,Yes,Medium,Yes,Medium,Mechanical Engineer,Medium
Student_77,20,Science,55,90,88,37,44,High,8,Yes,Medium,Yes,Medium,Doctor,Medium
Student_78,17,Science,85,37,91,94,85,High,8,No,Low,No,Medium,Data Scientist,Low
Student_79,17,Commerce,67,96,53,60,72,Medium,9,Yes,Low,No,Medium,Doctor,Medium
Student_80,20,Commerce,63,74,63,93,75,Medium,10,No,Low,No,High,Business Manager,Low
Student_81,20,Commerce,36,55,68,64,80,High,8,Yes,Low,No,Low,Business Manager,Medium
Student_82,22,Arts,60,43,50,35,73,High,8,Yes,Medium,Yes,Medium,Mechanical Engineer,Low
Student_83,21,Arts,35,63,84,50,56,Low,6,No,Low,No,High,Teacher,Medium
Student_84,22,Science,62,88,78,68,70,Medium,3,No,Medium,Yes,Medium,Doctor,Low
Student_85,19,Commerce,36,56,68,95,78,Medium,8,Yes,Low,No,Medium,Business Manager,Medium
Student_86,18,Science,89,45,52,32,47,Low,1,Yes,Medium,Yes,Low,Mechanical Engineer,High
Student_87,22,Science,89,60,37,98,80,Medium,5,No,High,No,Medium,Software Engineer,Medium
Student_88,19,Commerce,89,98,39,30,84,High,1,Yes,Medium,Yes,Medium,Doctor,Medium
Student_89,16,Commerce,45,97,95,68,56,High,5,No,High,Yes,Low,Doctor,Medium
Student_90,20,Arts,43,72,89,36,45,High,7,No,Medium,No,Medium,Teacher,Medium
Student_91,21,Science,61,74,94,78,98,Medium,10,No,High,Yes,Medium,Graphic Designer,Low
Student_92,22,Arts,77,41,47,55,51,High,6,No,Medium,Yes,Medium,Mechanical Engineer,Low
Student_93,20,Science,50,60,72,48,40,Low,1,Yes,High,Yes,Medium,Mechanical Engineer,High
Student_94,18,Arts,97,74,63,97,82,High,8,No,Medium,Yes,High,Software Engineer,Low
Student_95,17,Science,87,59,62,75,74,Low,6,No,High,Yes,Medium,Graphic Designer,Low
Student_96,17,Science,40,69,66,86,78,High,6,No,Low,Yes,High,Graphic Designer,Low
Student_97,22,Arts,44,36,73,63,56,High,4,Yes,High,Yes,Low,Mechanical Engineer,High
Student_98,17,Commerce,89,82,92,32,94,Medium,3,Yes,Medium,Yes,High,Doctor,Low
Student_99,19,Science,37,47,44,70,90,Low,3,Yes,Medium,Yes,High,Mechanical Engineer,Low
Student_100,18,Commerce,81,64,71,83,80,Medium,4,No,Medium,No,Medium,Software Engineer,Low
Student_101,21,Commerce,85,74,73,69,92,High,3,No,High,No,Medium,Business Manager,Medium
Student_102,22,Science,42,73,47,45,79,High,8,No,Medium,No,Low,Mechanical Engineer,Low
Student_103,21,Commerce,91,84,60,70,48,Low,4,Yes,Low,No,Low,Doctor,High
Student_104,18,Science,88,81,42,45,90,Medium,5,No,Low,Yes,Low,Doctor,Low
Student_105,17,Arts,99,70,52,32,76,High,9,No,Low,Yes,High,Mechanical Engineer,Low
Student_106,20,Arts,61,46,74,37,63,Low,5,No,Medium,No,Low,Mechanical Engineer,Low
Student_107,16,Science,78,98,71,93,48,Low,1,No,High,Yes,Low,Data Scientist,High
Student_108,19,Science,46,81,79,76,95,High,9,Yes,Low,Yes,Low,Doctor,Medium
Student_109,19,Science,72,35,53,30,42,Low,4,No,High,Yes,High,Mechanical Engineer,Medium
Student_110,17,Science,38,43,39,76,45,Medium,8,No,High,Yes,Medium,Graphic Designer,Medium
Student_111,18,Arts,93,79,80,37,51,Low,8,No,High,No,High,Teacher,Medium
Student_112,17,Arts,56,42,52,73,73,Medium,2,Yes,Low,No,High,Graphic Designer,Medium
Student_113,20,Commerce,69,55,97,38,69,Medium,2,Yes,Medium,No,Medium,Business Manager,Medium
Student_114,17,Science,70,93,35,36,57,High,5,Yes,High,Yes,High,Doctor,High
Student_115,19,Science,45,79,69,53,40,Low,2,No,Low,No,Low,Mechanical Engineer,High
Student_116,21,Science,94,47,90,52,65,High,2,Yes,Low,No,High,Mechanical Engineer,Medium
Student_117,19,Arts,51,95,89,88,75,Low,9,Yes,Medium,Yes,Medium,Doctor,Low
Student_118,19,Science,47,66,90,58,55,Medium,8,Yes,High,No,Medium,Mechanical Engineer,High
Student_119,18,Commerce,89,78,85,98,77,Low,8,No,Medium,Yes,Low,Data Scientist,Low
Student_120,18,Arts,47,61,62,36,73,High,10,No,Medium,No,High,Mechanical Engineer,Low
Student_121,21,Arts,89,78,63,59,58,Medium,2,No,Low,No,Medium,Mechanical Engineer,Medium
Student_122,18,Science,57,48,98,63,87,Low,3,Yes,High,Yes,Medium,Mechanical Engineer,Medium
Student_123,17,Arts,51,99,40,78,53,High,8,No,High,Yes,High,Doctor,Medium
Student_124,19,Commerce,87,97,49,39,67,Medium,6,No,Medium,No,Low,Doctor,Low
Student_125,19,Commerce,78,98,71,43,70,Medium,6,Yes,Low,No,Medium,Doctor,Medium
Student_126,20,Science,39,72,90,80,88,High,1,Yes,Medium,Yes,High,Graphic Designer,Medium
Student_127,19,Commerce,88,65,57,68,62,Medium,7,No,Medium,Yes,High,Business Manager,Low
Student_128,19,Commerce,55,81,58,53,55,High,10,No,Medium,No,Low,Doctor,Medium
Student_129,17,Science,89,64,53,72,87,High,6,Yes,Low,Yes,High,Graphic Designer,Low
Student_130,16,Science,62,59,89,79,48,Low,2,Yes,Low,No,Medium,Graphic Designer,High
Student_131,16,Commerce,97,91,94,55,70,Low,1,Yes,Low,No,Medium,Doctor,Medium
Student_132,22,Commerce,55,86,84,54,42,Low,7,Yes,Low,No,Medium,Doctor,Medium
Student_133,22,Commerce,50,49,59,42,58,Medium,7,Yes,Medium,No,Medium,Business Manager,Medium
Student_134,18,Arts,47,72,96,96,84,High,1,Yes,Medium,No,High,Lawyer,Medium
Student_135,21,Commerce,76,79,48,75,67,Medium,10,No,High,No,Medium,Business Manager,Medium
Student_136,22,Arts,87,56,59,44,59,Low,7,Yes,Medium,No,High,Mechanical Engineer,Medium
Student_137,16,Arts,66,40,40,99,71,Low,4,No,Medium,Yes,Low,Graphic Designer,Low
Student_138,18,Science,58,75,94,76,43,Medium,1,No,Medium,No,Medium,Graphic Designer,Medium
Student_139,19,Arts,98,70,95,50,98,Medium,7,No,Medium,Yes,Low,Lawyer,Low
Student_140,19,Commerce,63,81,94,74,76,Medium,8,No,High,No,Low,Doctor,Medium
Student_141,16,Arts,90,97,96,57,93,High,3,No,Low,Yes,High,Doctor,Low
Student_142,20,Science,43,91,72,55,58,Medium,3,No,High,Yes,Medium,Doctor,Medium
Student_143,20,Science,75,54,61,45,86,High,1,Yes,High,Yes,Low,Mechanical Engineer,High
Student_144,20,Commerce,87,58,51,53,69,Medium,9,No,Low,Yes,Medium,Business Manager,Low
Student_145,21,Science,50,74,46,37,91,Medium,8,Yes,High,No,High,Mechanical Engineer,Medium
Student_146,17,Arts,85,65,70,78,76,Medium,6,Yes,High,No,Medium,Data Scientist,Medium
Student_147,16,Commerce,84,42,97,32,44,Medium,5,No,Low,No,Low,Business Manager,Medium
Student_148,20,Arts,76,60,87,63,42,High,1,Yes,Medium,No,High,Lawyer,High
Student_149,18,Arts,100,65,71,31,98,Medium,9,Yes,Medium,No,High,Mechanical Engineer,Medium
Student_150,21,Commerce,36,51,45,59,97,Medium,4,Yes,High,No,Low,Business Manager,High
Student_151,21,Science,72,76,57,40,83,Low,3,No,Low,Yes,High,Mechanical Engineer,Low
Student_152,21,Commerce,46,92,59,89,96,Low,2,Yes,High,Yes,Medium,Doctor,High
Student_153,18,Arts,68,74,87,73,68,Medium,1,Yes,Medium,No,Medium,Lawyer,Medium
Student_154,21,Arts,92,40,80,83,71,High,10,Yes,High,No,Medium,Software Engineer,Medium
Student_155,20,Science,91,57,94,31,81,High,6,Yes,Low,No,High,Mechanical Engineer,Medium
Student_156,20,Science,50,50,80,33,49,Medium,8,Yes,Medium,No,Medium,Mechanical Engineer,Medium
Student_157,21,Commerce,35,83,65,87,54,Medium,4,No,Low,Yes,Low,Doctor,Medium
Student_158,18,Commerce,87,61,96,70,85,Low,4,No,Medium,Yes,High,Business Manager,Low
Student_159,16,Arts,100,96,49,34,52,Medium,2,Yes,Medium,Yes,Low,Doctor,High
Student_160,21,Science,77,61,83,37,87,High,1,Yes,Medium,Yes,Low,Mechanical Engineer,Medium
Student_161,18,Commerce,94,88,94,50,77,High,7,Yes,Low,Yes,Low,Doctor,Medium
Student_162,20,Commerce,39,85,80,96,89,High,7,Yes,High,Yes,Low,Doctor,Medium
Student_163,16,Science,88,75,78,81,57,Low,2,Yes,High,No,Low,Data Scientist,High
Student_164,18,Science,84,84,70,45,55,High,1,Yes,Low,Yes,Medium,Doctor,High
Student_165,18,Commerce,74,52,49,96,49,High,1,Yes,Medium,Yes,Low,Software Engineer,High
Student_166,19,Arts,77,69,41,76,71,Low,3,No,Low,Yes,Low,Software Engineer,Low
Student_167,17,Arts,47,89,60,93,82,High,6,Yes,Medium,Yes,Low,Doctor,Medium
Student_168,19,Commerce,66,65,55,62,73,High,6,No,High,No,Medium,Business Manager,Medium
Student_169,19,Arts,55,77,57,77,64,Medium,5,No,Medium,No,Low,Graphic Designer,Low
Student_170,20,Commerce,59,92,46,31,55,Medium,6,No,Medium,Yes,High,Doctor,Low
Student_171,22,Arts,96,81,50,34,55,High,8,Yes,Low,No,High,Doctor,Medium
Student_172,17,Arts,41,42,94,87,52,Low,7,Yes,Medium,No,High,Teacher,Medium
Student_173,19,Science,85,96,87,48,90,High,2,No,Medium,No,Medium,Doctor,Medium
Student_174,22,Science,61,63,36,73,65,High,2,No,Low,Yes,High,Graphic Designer,Low
Student_175,17,Science,46,98,36,80,92,High,7,Yes,Medium,Yes,Low,Doctor,Medium
Student_176,16,Commerce,82,86,91,96,61,High,2,No,Low,Yes,High,Software Engineer,Low
Student_177,22,Commerce,89,53,50,72,100,High,2,Yes,High,Yes,High,Business Manager,High
Student_178,20,Commerce,62,88,92,67,95,Low,10,Yes,High,Yes,Low,Doctor,Medium
Student_179,20,Science,43,85,74,94,45,High,7,Yes,Medium,No,High,Doctor,Medium
Student_180,20,Science,40,36,78,78,73,High,3,Yes,High,Yes,Low,Graphic Designer,Medium
Student_181,19,Science,98,58,39,63,66,Medium,10,Yes,Medium,Yes,High,Mechanical Engineer,Low
Student_182,22,Commerce,50,69,38,75,100,Medium,1,No,High,No,High,Business Manager,Medium
Student_183,19,Commerce,86,49,93,44,80,Medium,9,Yes,High,No,Medium,Business Manager,Medium
Student_184,20,Science,51,90,90,42,88,Low,6,No,High,Yes,High,Doctor,Low
Student_185,22,Science,72,88,56,96,40,Low,8,No,Low,No,High,Software Engineer,Medium
Student_186,20,Science,43,88,78,31,63,High,10,No,High,No,High,Doctor,Medium
Student_187,21,Commerce,63,85,78,44,69,High,1,No,High,Yes,High,Doctor,Medium
Student_188,21,Commerce,47,57,96,67,63,Medium,1,No,High,No,Medium,Business Manager,Medium
Student_189,18,Commerce,97,44,100,94,74,Medium,1,Yes,Low,Yes,High,Data Scientist,Medium
Student_190,18,Science,44,65,75,79,68,High,3,Yes,Low,No,Low,Graphic Designer,Medium
Student_191,22,Science,39,79,94,53,78,Medium,6,No,Medium,No,Low,Mechanical Engineer,Low
Student_192,21,Arts,49,75,51,93,51,Low,8,No,Low,No,High,Graphic Designer,Medium
Student_193,22,Arts,65,67,48,92,44,Medium,4,No,High,Yes,High,Graphic Designer,Medium
Student_194,21,Commerce,57,36,62,60,87,Low,9,No,Low,No,Low,Business Manager,Low
Student_195,18,Science,97,78,40,43,59,Low,7,No,Low,No,Low,Mechanical Engineer,Medium
Student_196,18,Science,55,68,69,96,40,Low,1,Yes,High,No,Low,Graphic Designer,High
Student_197,22,Commerce,38,90,85,41,100,Medium,4,No,High,Yes,High,Doctor,Low
Student_198,18,Commerce,40,59,88,85,62,Low,3,Yes,Medium,No,Low,Business Manager,Medium
Student_199,22,Arts,72,45,84,98,49,Medium,10,Yes,High,No,High,Data Scientist,High
Student_200,17,Science,59,77,53,76,77,Medium,6,Yes,Medium,Yes,Medium,Graphic Designer,Low
Student_201,20,Commerce,96,44,81,73,92,Low,6,Yes,Medium,No,High,Business Manager,Medium
Student_202,21,Commerce,49,99,75,51,49,High,10,No,Low,Yes,Low,Doctor,Medium
Student_203,22,Commerce,37,87,37,70,75,High,9,No,Medium,No,Medium,Doctor,Low
Student_204,17,Arts,48,94,38,97,53,Low,8,Yes,Medium,Yes,High,Doctor,Medium
Student_205,19,Arts,80,66,42,73,78,High,10,Yes,Low,Yes,Medium,Graphic Designer,Low
Student_206,18,Commerce,74,83,97,44,53,High,3,No,Medium,No,Medium,Doctor,Medium
Student_207,19,Commerce,64,52,48,99,47,High,4,Yes,Low,Yes,Low,Business Manager,Medium
Student_208,21,Commerce,58,50,80,36,54,Medium,6,No,Medium,No,High,Business Manager,Medium
Student_209,17,Science,43,36,95,42,92,High,9,No,Low,No,High,Mechanical Engineer,Low
Student_210,20,Arts,73,55,57,54,89,Low,8,Yes,Low,No,Medium,Mechanical Engineer,Medium
Student_211,19,Commerce,49,97,39,92,73,Low,2,Yes,High,Yes,Low,Doctor,High
Student_212,21,Commerce,83,63,67,47,82,High,3,No,Medium,No,Low,Business Manager,Low
Student_213,16,Science,56,83,98,92,65,Low,5,Yes,Low,Yes,Low,Doctor,Medium
Student_214,17,Arts,83,85,48,50,55,Medium,3,No,High,No,High,Doctor,Medium
Student_215,22,Commerce,74,47,39,57,73,Medium,5,Yes,Low,Yes,High,Business Manager,Low
Student_216,17,Arts,89,69,84,59,78,Medium,9,No,Low,No,Medium,Lawyer,Low
Student_217,19,Arts,74,85,98,47,96,Medium,7,Yes,Medium,No,Medium,Doctor,Medium
Student_218,16,Arts,76,57,54,52,66,Medium,9,No,Low,Yes,Low,Mechanical Engineer,Low
Student_219,19,Science,61,56,83,70,59,Low,9,No,Medium,No,Low,Mechanical Engineer,Medium
Student_220,16,Arts,94,69,46,54,68,Medium,6,No,High,No,High,Mechanical Engineer,Medium
Student_221,17,Arts,71,75,82,42,58,Medium,8,Yes,Medium,No,High,Lawyer,Medium
Student_222,22,Arts,54,38,86,38,52,Low,10,Yes,High,No,Low,Teacher,High
Student_223,20,Arts,64,48,41,86,56,Medium,9,No,Medium,Yes,High,Graphic Designer,Low
Student_224,19,Commerce,86,100,80,75,59,Low,8,No,High,No,Medium,Doctor,Medium
Student_225,19,Arts,72,56,55,62,61,Low,4,No,High,No,High,Mechanical Engineer,Medium
Student_226,22,Commerce,72,66,44,89,95,Medium,7,Yes,Medium,No,Medium,Data Scientist,Medium
Student_227,18,Science,86,59,100,48,40,High,4,Yes,Low,No,Medium,Mechanical Engineer,Medium
Student_228,16,Science,50,60,55,97,44,Medium,4,Yes,Low,Yes,Medium,Graphic Designer,Medium
Student_229,17,Commerce,42,36,95,40,67,Medium,7,Yes,Low,No,Medium,Business Manager,Medium
Student_230,22,Commerce,83,41,45,100,79,High,7,No,Medium,Yes,Low,Software Engineer,Low
Student_231,16,Science,58,100,81,67,88,Low,3,No,Medium,No,Low,Doctor,Low
Student_232,17,Commerce,88,52,88,36,97,Low,5,No,Low,Yes,Medium,Business Manager,Low
Student_233,19,Commerce,49,63,86,33,82,Low,8,Yes,High,Yes,Medium,Business Manager,Medium
Student_234,18,Science,86,97,68,49,83,Medium,3,Yes,High,No,Low,Doctor,High
Student_235,17,Science,60,68,86,73,41,Low,8,No,Medium,Yes,Low,Graphic Designer,Medium
Student_236,16,Arts,92,77,93,100,77,Medium,2,No,Medium,Yes,Medium,Data Scientist,Low
Student_237,22,Science,94,37,85,40,54,High,1,Yes,Low,No,Low,Mechanical Engineer,High
Student_238,18,Science,45,65,43,71,78,Low,4,No,Low,Yes,Medium,Graphic Designer,Low
Student_239,20,Arts,85,95,91,87,53,Low,3,Yes,High,Yes,Low,Data Scientist,High
Student_240,17,Arts,78,67,99,92,83,Low,6,No,Low,No,High,Software Engineer,Low
Student_241,20,Commerce,52,72,35,33,75,Low,10,Yes,High,No,Medium,Business Manager,Medium
Student_242,21,Commerce,74,71,95,37,97,High,2,No,Medium,Yes,Low,Business Manager,Medium
Student_243,20,Science,48,39,83,79,60,Low,9,Yes,High,Yes,High,Graphic Designer,Medium
Student_244,18,Arts,78,89,65,82,66,High,4,Yes,Medium,Yes,Low,Software Engineer,Medium
Student_245,18,Commerce,40,42,41,40,60,Medium,2,Yes,High,No,High,Business Manager,High
Student_246,21,Arts,69,59,86,42,98,Medium,4,No,Low,Yes,High,Teacher,Low
Student_247,19,Arts,36,63,85,52,72,High,5,No,Medium,No,Low,Lawyer,Low
Student_248,18,Commerce,68,36,75,57,81,High,5,No,Low,Yes,Low,Business Manager,Low
Student_249,16,Commerce,86,85,97,93,53,Low,1,Yes,Low,No,Low,Software Engineer,High
Student_250,20,Science,70,77,100,81,69,High,9,No,High,Yes,Medium,Graphic Designer,Low
Student_251,22,Commerce,60,37,87,63,96,High,5,Yes,Low,Yes,Low,Business Manager,Medium
Student_252,20,Arts,83,63,84,58,85,Medium,4,Yes,Medium,No,Low,Teacher,Medium
Student_253,16,Arts,79,80,40,98,97,High,6,Yes,Medium,Yes,High,Data Scientist,Low
Student_254,19,Science,45,54,53,84,42,Low,8,Yes,Low,Yes,Low,Graphic Designer,Medium
Student_255,18,Commerce,90,44,80,91,77,Low,6,No,Low,No,Low,Data Scientist,Low
Student_256,16,Commerce,71,60,46,34,45,Low,6,No,Medium,Yes,Medium,Business Manager,Low
Student_257,16,Commerce,49,66,50,69,91,High,1,No,Medium,No,Medium,Business Manager,Medium
Student_258,17,Commerce,89,75,86,44,86,Low,5,No,Medium,No,Medium,Business Manager,Low
Student_259,20,Science,40,52,81,65,52,Low,8,Yes,Medium,Yes,High,Mechanical Engineer,Medium
Student_260,20,Arts,83,45,55,57,85,High,9,No,Medium,No,High,Mechanical Engineer,Low
Student_261,17,Science,84,61,40,65,59,High,4,Yes,Medium,Yes,High,Mechanical Engineer,Medium
Student_262,22,Science,40,46,74,58,86,High,4,Yes,Medium,No,Low,Mechanical Engineer,Medium
Student_263,16,Commerce,79,93,82,58,95,High,7,No,Medium,No,Low,Doctor,Low
Student_264,22,Science,55,74,68,88,63,Low,6,Yes,Low,Yes,Medium,Graphic Designer,Low
Student_265,17,Arts,36,42,47,82,73,Low,8,No,Low,No,Low,Graphic Designer,Low
Student_266,21,Arts,77,58,88,36,74,Medium,7,No,High,No,Medium,Teacher,Medium
Student_267,22,Arts,55,72,73,55,68,High,7,No,Medium,No,Medium,Mechanical Engineer,Low
Student_268,19,Science,94,99,71,64,86,Medium,4,Yes,High,No,High,Doctor,Medium
Student_269,16,Arts,63,49,45,90,91,Low,6,Yes,Medium,No,Low,Graphic Designer,Medium
Student_270,20,Arts,75,73,77,31,79,Medium,4,Yes,Medium,Yes,Medium,Lawyer,Low
Student_271,21,Science,94,40,84,80,44,High,6,Yes,Medium,No,High,Software Engineer,Medium
Student_272,22,Science,74,78,73,74,52,Medium,7,No,Medium,Yes,High,Graphic Designer,Low
Student_273,19,Science,36,70,79,38,49,High,5,Yes,High,No,Medium,Mechanical Engineer,High
Student_274,17,Arts,89,39,37,40,71,Low,8,No,Low,No,Medium,Mechanical Engineer,Low
Student_275,21,Arts,79,51,69,74,89,Medium,9,No,High,Yes,High,Graphic Designer,Low
Student_276,21,Arts,37,66,59,69,52,High,6,Yes,Medium,No,Medium,Mechanical Engineer,Medium
Student_277,22,Commerce,81,97,79,62,99,Low,3,No,High,No,Medium,Doctor,Medium
Student_278,17,Science,85,44,62,79,50,Low,7,No,High,Yes,Medium,Software Engineer,Medium
Student_279,18,Commerce,42,53,65,83,79,Low,3,No,Low,Yes,Low,Business Manager,Low
Student_280,16,Arts,74,41,69,50,41,Medium,7,Yes,High,No,Low,Mechanical Engineer,High
Student_281,18,Arts,70,87,48,41,73,Low,8,Yes,High,Yes,High,Doctor,Medium
Student_282,20,Commerce,64,47,58,45,79,High,6,No,Medium,No,Medium,Business Manager,Low
Student_283,21,Science,69,48,55,74,75,High,2,No,Low,Yes,Medium,Graphic Designer,Low
Student_284,19,Commerce,95,95,69,33,77,Medium,9,Yes,High,No,Low,Doctor,High
Student_285,16,Commerce,63,77,89,81,62,Medium,9,No,Medium,No,High,Business Manager,Low
Student_286,22,Arts,66,80,65,95,100,Low,8,No,High,Yes,Medium,Graphic Designer,Low
